Income	Number
0.00	38
1.00	93
2.00	61
3.00	80
4.00	96
5.00	110
6.00	177
7.00	143
8.00	379
9.00	345
10.00	911
11.00	675
12.00	960
13.00	964
14.00	1290
15.00	1603
16.00	1450
17.00	2018
18.00	1791
19.00	1908
20.00	1989
21.00	2059
22.00	2100
23.00	1933
24.00	1739
25.00	1804
26.00	2193
27.00	1580
28.00	1866
29.00	1627
30.00	1484
31.00	1672
32.00	1477
33.00	1255
34.00	1182
35.00	1303
36.00	1240
37.00	1263
38.00	1075
39.00	1017
40.00	1008
41.00	940
42.00	881
43.00	663
44.00	788
45.00	741
46.00	515
47.00	708
48.00	651
49.00	426
50.00	519
51.00	623
52.00	427
53.00	344
54.00	413
55.00	416
56.00	356
57.00	382
58.00	394
59.00	356
60.00	267
61.00	157
62.00	313
63.00	245
64.00	222
65.00	249
66.00	199
67.00	209
68.00	178
69.00	173
70.00	152
71.00	65
72.00	171
73.00	169
74.00	105
75.00	248
76.00	77
77.00	143
78.00	145
79.00	104
