,Client_Income,House_Own,Credit_Amount,Client_Marital_Status,Client_Gender,Age_Days,Employed_Days,Client_Family_Members
0,16060,1,70000,M,Female,12775,5334,0
1,8120,0,90000,M,Male,14235,6461,1
2,18465,0,70000,M,Male,13140,3298,3
3,11858,1,5000,M,Male,9125,643,3
4,21522,0,80000,S,Female,15330,8193,0
5,15175,1,80000,M,Male,12775,2406,0
6,31169,0,30000,M,Female,13140,2144,1
7,16082,1,5000,S,Male,22265,10904,0
8,8508,0,10000,M,Female,14965,1241,1
9,5639,1,10000,M,Female,9855,2517,2
10,5013,1,30000,M,Female,16790,2120,3
11,8089,1,5000,M,Female,10220,2501,3
12,12713,1,30000,M,Male,21535,9742,5
13,10574,0,30000,M,Female,18615,10662,1
14,13367,1,100000,S,Male,17885,4033,0
15,16883,1,100000,M,Female,8030,896,3
16,19138,1,40000,M,Female,14965,7551,2
17,6924,1,10000,M,Female,9855,3005,3
18,31917,0,10000,S,Female,14235,5758,1
19,22576,1,100000,M,Male,22630,4286,0
20,18871,0,20000,M,Male,12775,4053,0
21,15231,0,50000,M,Female,13870,3285,0
22,40241,1,10000,M,Female,14965,3363,1
23,15916,0,50000,M,Female,22630,9420,1
24,16450,1,100000,M,Male,13140,4679,2
25,21632,1,20000,M,Female,8030,12,2
26,5918,1,5000,S,Male,7300,637,4
27,15217,1,40000,M,Female,7665,503,1
28,14850,1,10000,S,Male,20805,3316,1
29,11932,1,90000,M,Male,18250,1756,3
30,17004,1,60000,S,Female,13505,5066,2
31,9326,0,90000,D,Male,11315,197,2
32,8581,0,40000,D,Male,20440,5203,2
33,13507,1,80000,M,Female,13140,6341,2
34,8677,1,80000,S,Female,8030,1296,2
35,7785,1,60000,S,Male,22995,9135,1
36,12560,1,50000,W,Male,8030,300,5
37,15249,0,30000,W,Female,18250,2980,2
38,11170,0,5000,S,Male,20440,6336,4
39,22630,0,10000,M,Male,12775,6127,0
40,5336,1,20000,M,Female,20805,9650,2
41,12167,1,100000,M,Male,9855,1632,1
42,13430,1,5000,M,Female,17155,9601,5
43,7009,1,5000,S,Female,14600,7348,1
44,5908,1,60000,S,Female,7665,967,0
45,12563,1,40000,M,Female,14235,6565,1
46,10719,0,60000,S,Male,22995,2545,1
47,9585,1,100000,M,Female,22995,13195,1
48,9709,1,40000,M,Male,20075,9325,1
49,7432,0,90000,M,Male,13870,3013,1
50,9484,1,40000,S,Male,9855,1875,1
51,13268,1,5000,M,Female,17155,9608,4
52,10908,1,5000,W,Female,13505,1540,1
53,5497,1,70000,S,Female,8395,596,2
54,26967,0,100000,M,Female,20075,5875,2
55,20226,0,90000,M,Male,13140,4861,0
